epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,797.865,0.47928,0.5638,0.87029,0.60284,0.83816,0.76531,0.69275,0.43091,0.8711,0.82635,0.000494885,0.000494885,0.000494885
43,809.679,0.48757,0.56906,0.87251,0.6569,0.78418,0.75839,0.69763,0.4142,0.84815,0.82248,0.000486639,0.000486639,0.000486639
44,859.906,0.47816,0.56054,0.87306,0.64239,0.82667,0.77729,0.70862,0.42786,0.82089,0.82815,0.000478392,0.000478392,0.000478392
45,871.922,0.48334,0.56112,0.87415,0.64864,0.82649,0.79214,0.72981,0.40734,0.79584,0.81958,0.000470145,0.000470145,0.000470145
46,921.982,0.48293,0.55185,0.87391,0.63901,0.83385,0.76829,0.70364,0.41333,0.84241,0.8213,0.000461898,0.000461898,0.000461898
47,933.767,0.47088,0.53871,0.87076,0.61893,0.81698,0.76368,0.70254,0.41502,0.91065,0.82213,0.000453652,0.000453652,0.000453652
48,984.078,0.47031,0.53255,0.86727,0.64294,0.80984,0.76811,0.70858,0.42215,0.84959,0.82352,0.000445405,0.000445405,0.000445405
49,1035.16,0.46881,0.53385,0.8693,0.64435,0.82128,0.7843,0.71704,0.41206,0.82538,0.82107,0.000437158,0.000437158,0.000437158
50,1046.94,0.45775,0.52818,0.86666,0.641,0.8091,0.76709,0.70645,0.40867,0.86919,0.82068,0.000428912,0.000428912,0.000428912
51,1097.12,0.46586,0.52482,0.86929,0.63764,0.80758,0.76289,0.7002,0.42049,0.83698,0.82705,0.000420665,0.000420665,0.000420665
52,1108.97,0.46583,0.52765,0.87139,0.64394,0.83359,0.7836,0.72117,0.41185,0.8118,0.82567,0.000412418,0.000412418,0.000412418
53,1159.33,0.4606,0.50805,0.86298,0.62203,0.85431,0.7779,0.71574,0.40741,0.86231,0.82154,0.000404172,0.000404172,0.000404172
54,1170.87,0.45921,0.49971,0.86242,0.58607,0.84384,0.7576,0.69326,0.42081,0.87781,0.82319,0.000395925,0.000395925,0.000395925
55,1182.53,0.45531,0.49964,0.86538,0.61734,0.82456,0.75858,0.69867,0.40835,0.85618,0.8204,0.000387678,0.000387678,0.000387678
56,1194.33,0.45509,0.50916,0.86554,0.62442,0.86048,0.77965,0.7192,0.39768,0.77782,0.81928,0.000379431,0.000379431,0.000379431
57,1206.02,0.46027,0.49967,0.86617,0.60787,0.82596,0.762,0.69535,0.41183,0.89396,0.82478,0.000371185,0.000371185,0.000371185
58,1217.8,0.45075,0.49795,0.86295,0.59409,0.84492,0.7631,0.70579,0.40393,0.92387,0.8221,0.000362938,0.000362938,0.000362938
59,1229.68,0.44499,0.48852,0.86009,0.63581,0.84603,0.79802,0.73383,0.39967,0.85002,0.82356,0.000354691,0.000354691,0.000354691
60,1241.63,0.44567,0.48273,0.86366,0.66964,0.83118,0.78073,0.71793,0.4059,0.79297,0.8265,0.000346445,0.000346445,0.000346445
61,1253.61,0.44699,0.491,0.86161,0.61556,0.85585,0.78702,0.72584,0.39235,0.81575,0.82116,0.000338198,0.000338198,0.000338198
62,1265.49,0.4455,0.48032,0.86083,0.67366,0.80359,0.78996,0.72827,0.40075,0.7936,0.82026,0.000329951,0.000329951,0.000329951
63,1277.33,0.44595,0.48501,0.85895,0.64169,0.81055,0.76851,0.7073,0.40302,0.87589,0.82299,0.000321705,0.000321705,0.000321705
64,1289.26,0.44384,0.47436,0.86236,0.62579,0.82084,0.77679,0.71777,0.39089,0.87307,0.81763,0.000313458,0.000313458,0.000313458
65,1301.09,0.44196,0.47423,0.86386,0.59807,0.7879,0.75301,0.69452,0.4041,0.96034,0.82651,0.000305211,0.000305211,0.000305211
66,1312.91,0.43773,0.46492,0.85796,0.62505,0.83768,0.77522,0.72081,0.39291,0.84928,0.81645,0.000296964,0.000296964,0.000296964
67,1324.87,0.44155,0.46961,0.86213,0.66066,0.7887,0.77086,0.71407,0.39019,0.88224,0.81863,0.000288718,0.000288718,0.000288718
68,1336.65,0.43912,0.46423,0.862,0.60138,0.84121,0.76439,0.70898,0.38869,0.91326,0.81544,0.000280471,0.000280471,0.000280471
69,1348.44,0.4289,0.44979,0.85788,0.67198,0.74844,0.75067,0.69421,0.39953,0.92962,0.82315,0.000272224,0.000272224,0.000272224
70,1360.33,0.42701,0.44843,0.8575,0.61277,0.80754,0.75133,0.69564,0.40086,0.9398,0.82295,0.000263978,0.000263978,0.000263978
71,1372.14,0.42509,0.45167,0.85714,0.63424,0.80528,0.75361,0.69748,0.39459,0.89005,0.81798,0.000255731,0.000255731,0.000255731
72,1383.95,0.42276,0.44514,0.85594,0.64845,0.8166,0.77753,0.71509,0.40663,0.87242,0.82148,0.000247484,0.000247484,0.000247484
73,1395.66,0.41709,0.44326,0.85366,0.62404,0.85074,0.77072,0.7118,0.40342,0.85528,0.82594,0.000239238,0.000239238,0.000239238
74,1407.32,0.42697,0.44805,0.85893,0.64654,0.82046,0.78911,0.73259,0.39927,0.85436,0.82243,0.000230991,0.000230991,0.000230991
75,1419.33,0.41768,0.43494,0.85517,0.64115,0.81092,0.7763,0.72004,0.39711,0.87201,0.82555,0.000222744,0.000222744,0.000222744
76,1431.15,0.41614,0.42594,0.85615,0.61564,0.83561,0.77044,0.7133,0.40308,0.89308,0.82369,0.000214497,0.000214497,0.000214497
77,1442.97,0.41557,0.42314,0.85459,0.63792,0.80979,0.77001,0.71392,0.40317,0.89903,0.82533,0.000206251,0.000206251,0.000206251
78,1454.83,0.41055,0.42071,0.8527,0.63553,0.83469,0.77094,0.71363,0.40572,0.89847,0.82684,0.000198004,0.000198004,0.000198004
79,1466.6,0.41003,0.42317,0.85216,0.63585,0.82163,0.77484,0.71556,0.40356,0.87993,0.82672,0.000189757,0.000189757,0.000189757
80,1478.47,0.40937,0.4158,0.85447,0.66493,0.79722,0.77848,0.72303,0.39424,0.85584,0.82444,0.000181511,0.000181511,0.000181511
81,1490.42,0.40285,0.41722,0.85335,0.63285,0.83195,0.7822,0.72348,0.40094,0.88037,0.82433,0.000173264,0.000173264,0.000173264
82,1502.22,0.40517,0.41774,0.85273,0.64131,0.8363,0.78161,0.723,0.40021,0.85762,0.8228,0.000165017,0.000165017,0.000165017
83,1513.96,0.40755,0.41224,0.85388,0.64014,0.82412,0.77735,0.72124,0.39513,0.89085,0.82001,0.000156771,0.000156771,0.000156771
84,1525.95,0.40822,0.41505,0.85331,0.64554,0.79308,0.77353,0.71772,0.39489,0.90794,0.82315,0.000148524,0.000148524,0.000148524
85,1537.76,0.40606,0.40181,0.85374,0.64192,0.80507,0.77837,0.72258,0.39681,0.89825,0.82444,0.000140277,0.000140277,0.000140277
86,1549.81,0.39928,0.40083,0.8505,0.64304,0.81881,0.7786,0.72525,0.39336,0.89133,0.82257,0.000132031,0.000132031,0.000132031
87,1561.7,0.40132,0.39214,0.85199,0.62608,0.80803,0.76184,0.70808,0.39681,0.9703,0.82464,0.000123784,0.000123784,0.000123784
88,1573.6,0.39799,0.39923,0.84807,0.64629,0.80781,0.78154,0.72694,0.39546,0.90859,0.82324,0.000115537,0.000115537,0.000115537
89,1585.44,0.39618,0.39676,0.8481,0.69444,0.77313,0.78339,0.72777,0.39708,0.87115,0.82397,0.00010729,0.00010729,0.00010729
90,1597.27,0.40047,0.39,0.85253,0.67114,0.78226,0.77851,0.72523,0.39847,0.89658,0.82659,9.90437e-05,9.90437e-05,9.90437e-05
91,1609.38,0.29736,0.27499,0.78541,0.6414,0.80148,0.76266,0.70592,0.39963,0.92677,0.82513,9.0797e-05,9.0797e-05,9.0797e-05
92,1620.9,0.28896,0.26521,0.78414,0.65464,0.80444,0.77425,0.71211,0.39776,0.90355,0.82307,8.25503e-05,8.25503e-05,8.25503e-05
93,1632.53,0.28473,0.26293,0.78229,0.63303,0.81141,0.77772,0.71662,0.39974,0.92878,0.82246,7.43036e-05,7.43036e-05,7.43036e-05
94,1644.1,0.28668,0.25416,0.78298,0.66204,0.78862,0.77552,0.71595,0.39937,0.91981,0.82121,6.60569e-05,6.60569e-05,6.60569e-05
95,1655.64,0.27969,0.25404,0.78416,0.63602,0.81616,0.76948,0.71038,0.40037,0.93156,0.82306,5.78102e-05,5.78102e-05,5.78102e-05
96,1667.28,0.28176,0.24897,0.78318,0.61284,0.81876,0.75797,0.69895,0.40366,0.99167,0.82332,4.95635e-05,4.95635e-05,4.95635e-05
97,1678.88,0.27947,0.24629,0.78243,0.63543,0.80692,0.76294,0.704,0.40216,0.96376,0.82217,4.13168e-05,4.13168e-05,4.13168e-05
98,1690.46,0.27634,0.24411,0.78125,0.65518,0.77608,0.75783,0.69982,0.40159,0.97827,0.82237,3.30701e-05,3.30701e-05,3.30701e-05
99,1702.03,0.27368,0.23851,0.78117,0.62573,0.81034,0.75862,0.70048,0.39982,0.98716,0.82136,2.48234e-05,2.48234e-05,2.48234e-05
100,1713.56,0.27706,0.23846,0.78201,0.65221,0.79285,0.76215,0.70352,0.39868,0.98089,0.82132,1.65767e-05,1.65767e-05,1.65767e-05
